20组播,#genre#
i成都,http://www.zhms.tk:5050/udp/239.94.2.1:5140$四川电信-组播2
云看熊猫,http://www.zhms.tk:5050/udp/239.94.1.7:5140$四川电信-组播2
亲子趣学4k,http://www.zhms.tk:5050/udp/239.94.1.156:5140$四川电信-组播2
健康养生,http://www.zhms.tk:5050/udp/239.94.1.27:5140$四川电信-组播2
全球大片,http://www.zhms.tk:5050/udp/239.94.1.24:5140$四川电信-组播2
军事,http://www.zhms.tk:5050/udp/239.94.1.52:5140$四川电信-组播2
华语影院,http://www.zhms.tk:5050/udp/239.94.1.22:5140$四川电信-组播2
地理,http://www.zhms.tk:5050/udp/239.94.1.54:5140$四川电信-组播2
墨宝,http://www.zhms.tk:5050/udp/239.94.1.51:5140$四川电信-组播2
大爱四川,http://www.zhms.tk:5050/udp/239.94.1.12:5140$四川电信-组播2
宝宝动画,http://www.zhms.tk:5050/udp/239.94.1.32:5140$四川电信-组播2
导视,http://www.zhms.tk:5050/udp/239.94.1.55:5140$四川电信-组播2
少儿天地,http://www.zhms.tk:5050/udp/239.94.1.138:5140$四川电信-组播2
峨眉电影,http://www.zhms.tk:5050/udp/239.94.0.103:5140$四川电信-组播2
峨眉电影,http://www.zhms.tk:5050/udp/239.94.2.209:5140$四川电信-组播2
戏曲精选,http://www.zhms.tk:5050/udp/239.94.1.37:5140$四川电信-组播2
收视指南,http://www.zhms.tk:5050/udp/239.94.1.56:5140$四川电信-组播2
星光院线,http://www.zhms.tk:5050/udp/239.94.1.23:5140$四川电信-组播2
来钓鱼吧,http://www.zhms.tk:5050/udp/239.94.1.148:5140$四川电信-组播2
求索,http://www.zhms.tk:5050/udp/239.94.1.142:5140$四川电信-组播2
热门剧场,http://www.zhms.tk:5050/udp/239.94.1.26:5140$四川电信-组播2
